school, sex, age, Medu, Fedu, Mjob, Fjob, reason, traveltime, studytime, failures, schoolsup, famsup, paid, activities, higher, internet, freetime, health, absences, G1, G2, G3, GC1, GC2, GC3, GG1, GG2, GG3
GP, F, 19, 0, 1, at_home, other, course, 1, 2, 2, no, yes, no, no, no, no, 4, 5, 0, 9, 10, 11, fail, pass, pass, 4,3, 4, 3,7
GP, M, 16, 4, 4, teacher, teacher, course, 1, 1, 0, no, no, no, yes, yes, yes, 5, 4, 8, 14, 14, 15, good, good, V.good, 2,8, 2,8, 2,5
GP, M, 16, 2, 3, other, other, course, 2, 3, 0, no, yes, no, no, yes, yes, 2, 1, 4, 13, 12, 13, pass, pass, pass, 3,1, 3,4, 3,1
GP, F, 15, 3, 4, services, teacher, course, 2, 3, 0, no, yes, no, no, yes, yes, 2, 5, 0, 10, 11, 12, pass, pass, pass, 4, 3,7, 3,4
GP, F, 18, 2, 1, services, other, reputation, 1, 2, 3, no, yes, no, yes, no, yes, 4, 5, 10, 10, 9, 8, pass, fail, fail, 4, 4,3, 4,6
GP, F, 17, 2, 1, other, other, course, 3, 1, 0, no, yes, no, no, yes, yes, 2, 5, 8, 11, 10, 11, pass, pass, pass, 3,7, 4, 3,7
GP, F, 15, 1, 1, at_home, other, course, 3, 1, 0, no, yes, no, yes, yes, yes, 3, 4, 6, 11, 12, 13, pass, pass, pass, 3,7, 3,4, 3,1
GP, F, 17, 2, 2, other, other, course, 1, 1, 0, no, yes, no, no, yes, yes, 4, 5, 2, 13, 12, 12, pass, pass, pass, 3,1, 3,4, 3,4
GP, F, 16, 3, 4, services, other, course, 1, 1, 0, no, no, no, no, yes, yes, 2, 5, 12, 15, 13, 14, V.good, pass, good, 2,5, 3,1, 2,8
GP, M, 16, 2, 1, at_home, other, course, 4, 1, 0, no, no, no, no, yes, no, 2, 2, 4, 9, 9, 11, fail, fail, pass, 4,3, 4,3, 3,7
GP, F, 16, 2, 2, other, other, home, 1, 1, 1, no, no, no, no, yes, no, 3, 5, 12, 13, 11, 11, pass, pass, pass, 3,1, 3,7, 3,7
GP, M, 15, 3, 4, at_home, teacher, course, 4, 2, 0, no, yes, no, no, yes, no, 3, 5, 2, 12, 11, 11, pass, pass, pass, 3,4, 3,7, 3,7
GP, F, 15, 4, 4, services, at_home, course, 1, 3, 0, no, yes, no, yes, yes, yes, 3, 5, 4, 13, 14, 15, pass, good, V.good, 3,1, 2,8, 2,5
GP, M, 17, 3, 4, at_home, other, course, 3, 2, 0, no, no, no, no, yes, no, 4, 5, 2, 10, 9, 10, pass, fail, pass, 4, 4,3, 4
GP, F, 16, 1, 1, at_home, other, course, 4, 2, 0, no, yes, no, no, yes, no, 1, 3, 0, 14, 13, 13, good, pass, pass, 2,8, 3,1, 3,1
GP, M, 18, 3, 1, services, services, course, 2, 1, 0, no, no, no, yes, yes, yes, 3, 4, 2, 11, 11, 12, pass, pass, pass, 3,7, 3,7, 3,4
GP, F, 18, 3, 2, other, services, course, 1, 3, 0, no, yes, no, yes, yes, yes, 3, 5, 10, 12, 11, 11, pass, pass, pass, 3,4, 3,7, 3,7
GP, F, 16, 1, 1, other, services, reputation, 2, 1, 0, no, yes, no, yes, yes, no, 3, 1, 8, 12, 11, 11, pass, pass, pass, 3,4, 3,7, 3,7
GP, F, 16, 3, 3, other, other, course, 2, 1, 0, no, yes, no, yes, yes, yes, 3, 5, 4, 9, 9, 10, fail, fail, pass, 4,3, 4,3, 4
GP, M, 16, 1, 1, services, other, course, 1, 2, 2, no, no, no, no, yes, no, 4, 5, 0, 10, 10, 10, pass, pass, pass, 4, 4, 4
GP, F, 15, 4, 4, teacher, teacher, course, 2, 1, 0, no, no, no, yes, yes, yes, 3, 5, 6, 13, 14, 14, pass, good, good, 3,1, 2,8, 2,8
GP, F, 15, 1, 1, other, other, course, 3, 1, 1, no, no, no, yes, yes, yes, 5, 1, 2, 8, 9, 9, fail, fail, fail, 4,6, 4,3, 4,3
GP, M, 15, 4, 3, teacher, services, course, 2, 4, 0, yes, yes, no, no, yes, yes, 2, 3, 6, 9, 11, 11, fail, pass, pass, 4,3, 3,7, 3,7
GP, F, 15, 3, 3, services, services, home, 1, 2, 0, no, no, no, no, yes, no, 3, 1, 24, 9, 8, 9, fail, fail, fail, 4,3, 4,6, 4,3
GP, M, 16, 4, 4, services, services, course, 1, 3, 0, no, yes, no, yes, yes, yes, 3, 5, 0, 15, 13, 13, V.good, pass, pass, 2,5, 3,1, 3,1
GP, M, 16, 2, 2, services, services, reputation, 2, 1, 0, no, yes, no, yes, yes, yes, 3, 2, 4, 12, 11, 11, pass, pass, pass, 3,4, 3,7, 3,7
GP, F, 15, 4, 4, teacher, services, course, 1, 3, 0, no, yes, no, yes, yes, yes, 2, 5, 2, 13, 13, 13, pass, pass, pass, 3,1, 3,1, 3,1
GP, F, 16, 1, 1, at_home, at_home, course, 1, 1, 0, no, no, no, no, yes, yes, 4, 1, 4, 10, 11, 11, pass, pass, pass, 4, 3,7, 3,7
GP, M, 17, 2, 1, other, other, home, 1, 1, 0, no, yes, no, no, yes, yes, 4, 5, 22, 9, 7, 6, fail, fail, fail, 4,3, 4,9, 5,2
GP, F, 15, 1, 1, other, services, course, 1, 2, 0, no, yes, no, no, yes, yes, 4, 5, 0, 12, 12, 12, pass, pass, pass, 3,4, 3,4, 3,4
GP, F, 15, 2, 1, at_home, other, home, 2, 1, 0, no, yes, no, yes, no, yes, 4, 5, 0, 11, 10, 10, pass, pass, pass, 3,7, 4, 4
GP, F, 15, 3, 2, health, services, home, 1, 2, 1, no, yes, no, no, yes, yes, 3, 3, 2, 11, 11, 11, pass, pass, pass, 3,7, 3,7, 3,7
GP, F, 15, 1, 2, at_home, other, course, 1, 2, 0, no, yes, no, no, yes, yes, 3, 5, 6, 13, 12, 13, pass, pass, pass, 3,1, 3,4, 3,1
GP, F, 15, 1, 2, at_home, services, course, 1, 2, 0, no, no, no, no, yes, no, 3, 1, 6, 11, 11, 11, pass, pass, pass, 3,7, 3,7, 3,7
GP, M, 16, 4, 4, teacher, teacher, course, 1, 1, 0, no, yes, no, no, no, yes, 3, 5, 16, 9, 9, 8, fail, fail, fail, 4,3, 4,3, 4,6
GP, M, 15, 2, 1, services, other, course, 4, 1, 0, no, no, no, no, yes, yes, 5, 5, 0, 12, 11, 11, pass, pass, pass, 3,4, 3,7, 3,7
GP, M, 18, 1, 1, other, other, course, 1, 1, 2, no, no, no, no, no, yes, 3, 4, 0, 11, 9, 0, pass, fail, fail, 3,7, 4,3, 7
GP, M, 16, 2, 1, at_home, other, course, 1, 1, 1, no, no, no, yes, yes, no, 4, 5, 6, 9, 10, 10, fail, pass, pass, 4,3, 4, 4
GP, F, 15, 3, 3, services, services, reputation, 2, 3, 0, no, yes, yes, yes, yes, yes, 2, 3, 2, 13, 13, 13, pass, pass, pass, 3,1, 3,1, 3,1
GP, M, 19, 3, 2, services, at_home, home, 1, 1, 0, no, yes, no, no, no, yes, 5, 4, 6, 11, 9, 11, pass, fail, pass, 3,7, 4,3, 3,7
GP, F, 17, 4, 4, other, teacher, course, 1, 1, 0, yes, yes, no, no, yes, no, 2, 4, 0, 13, 13, 13, pass, pass, pass, 3,1, 3,1, 3,1
GP, M, 15, 2, 3, at_home, services, course, 1, 2, 0, yes, no, yes, yes, yes, no, 4, 1, 0, 7, 8, 8, fail, fail, fail, 4,9, 4,6, 4,6
GP, M, 17, 1, 2, other, other, reputation, 1, 1, 3, no, no, no, no, yes, no, 2, 5, 14, 9, 8, 10, fail, fail, pass, 4,3, 4,6, 4
GP, F, 18, 1, 1, at_home, other, course, 3, 1, 3, no, yes, no, yes, yes, no, 2, 4, 6, 11, 10, 11, pass, pass, pass, 3,7, 4, 3,7
GP, M, 16, 2, 2, at_home, other, course, 3, 1, 0, no, no, no, no, yes, no, 2, 3, 4, 12, 10, 11, pass, pass, pass, 3,4, 4, 3,7
GP, M, 16, 3, 3, other, services, course, 1, 2, 1, no, yes, no, no, yes, yes, 5, 5, 0, 10, 10, 1, pass, pass, fail, 4, 4, 6,7
GP, M, 16, 1, 2, health, services, course, 2, 1, 2, no, no, no, no, yes, yes, 4, 5, 0, 9, 8, 10, fail, fail, pass, 4,3, 4,6, 4
GP, M, 17, 2, 1, at_home, other, course, 2, 1, 1, no, no, yes, yes, no, yes, 3, 5, 8, 8, 8, 9, fail, fail, fail, 4,6, 4,6, 4,3
GP, M, 17, 3, 2, other, other, course, 2, 2, 2, yes, yes, no, no, yes, yes, 4, 3, 4, 7, 6, 8, fail, fail, fail, 4,9, 5,2, 4,6
GP, M, 15, 1, 2, other, other, course, 2, 1, 0, no, no, no, yes, yes, no, 4, 5, 2, 8, 9, 10, fail, fail, pass, 4,6, 4,3, 4
GP, M, 16, 1, 3, at_home, services, course, 1, 1, 1, no, no, no, no, no, yes, 3, 2, 2, 9, 8, 8, fail, fail, fail, 4,3, 4,6, 4,6
GP, M, 17, 1, 1, other, services, course, 4, 2, 0, no, no, no, yes, no, no, 3, 5, 0, 8, 8, 8, fail, fail, fail, 4,6, 4,6, 4,6
GP, M, 17, 3, 2, services, services, course, 2, 1, 3, no, yes, no, yes, no, no, 5, 2, 10, 8, 7, 8, fail, fail, fail, 4,6, 4,9, 4,6
GP, M, 16, 2, 2, other, other, course, 1, 2, 0, no, no, no, no, no, yes, 3, 4, 0, 9, 10, 11, fail, pass, pass, 4,3, 4, 3,7
GP, F, 16, 4, 2, health, services, home, 1, 2, 0, no, no, no, no, yes, yes, 2, 3, 0, 17, 17, 18, V.good, V.good, excellent, 1,9, 1,9, 1,6
GP, F, 16, 2, 2, other, other, home, 1, 2, 0, no, yes, no, no, yes, yes, 1, 4, 0, 12, 12, 13, pass, pass, pass, 3,4, 3,4, 3,1
GP, F, 16, 4, 4, health, health, reputation, 1, 2, 0, no, yes, no, no, yes, yes, 4, 3, 0, 16, 16, 17, V.good, V.good, V.good, 2,2, 2,2, 1,9
GP, M, 16, 3, 4, other, other, course, 3, 1, 1, no, yes, no, yes, yes, yes, 4, 2, 4, 9, 9, 10, fail, fail, pass, 4,3, 4,3, 4
GP, M, 16, 1, 0, other, other, reputation, 2, 2, 0, no, yes, no, yes, yes, yes, 3, 3, 0, 16, 17, 18, V.good, V.good, excellent, 2,2, 1,9, 1,6
GP, M, 17, 4, 4, teacher, other, reputation, 1, 2, 0, no, yes, no, yes, yes, yes, 4, 5, 0, 11, 9, 10, pass, fail, pass, 3,7, 4,3, 4
GP, F, 16, 1, 3, at_home, services, home, 1, 2, 0, no, no, no, yes, yes, yes, 3, 3, 0, 14, 13, 13, good, pass, pass, 2,8, 3,1, 3,1
GP, F, 16, 3, 3, other, other, reputation, 2, 2, 0, no, yes, no, yes, yes, yes, 4, 4, 0, 14, 14, 15, good, good, V.good, 2,8, 2,8, 2,5
GP, M, 17, 4, 3, teacher, other, course, 2, 2, 0, no, no, no, yes, yes, yes, 4, 4, 0, 10, 11, 11, pass, pass, pass, 4, 3,7, 3,7
GP, F, 16, 2, 2, services, other, reputation, 2, 2, 0, no, no, no, yes, yes, yes, 4, 5, 0, 13, 12, 14, pass, pass, good, 3,1, 3,4, 2,8
GP, M, 17, 3, 3, other, other, reputation, 1, 2, 0, no, no, no, yes, yes, yes, 3, 4, 4, 11, 9, 10, pass, fail, pass, 3,7, 4,3, 4
GP, M, 16, 4, 2, teacher, services, other, 1, 1, 0, no, yes, no, yes, yes, yes, 3, 3, 8, 10, 9, 11, pass, fail, pass, 4, 4,3, 3,7
GP, M, 17, 4, 3, other, other, course, 1, 2, 0, no, yes, yes, yes, yes, yes, 2, 2, 4, 11, 11, 13, pass, pass, pass, 3,7, 3,7, 3,1
GP, M, 16, 4, 3, teacher, other, home, 1, 2, 0, no, yes, yes, yes, yes, yes, 4, 3, 4, 11, 10, 11, pass, pass, pass, 3,7, 4, 3,7
GP, M, 16, 3, 3, services, other, home, 1, 2, 0, no, no, no, yes, yes, yes, 2, 3, 0, 11, 12, 13, pass, pass, pass, 3,7, 3,4, 3,1
GP, F, 17, 2, 4, services, services, reputation, 1, 2, 0, no, yes, no, yes, yes, no, 4, 5, 0, 17, 18, 17, V.good, excellent, V.good, 1,9, 1,6, 1,9
GP, F, 17, 3, 3, other, other, reputation, 1, 2, 0, no, yes, no, yes, yes, yes, 3, 1, 32, 14, 13, 14, good, pass, good, 2,8, 3,1, 2,8
GP, F, 16, 3, 2, other, other, reputation, 1, 2, 0, no, yes, no, no, yes, yes, 2, 1, 8, 14, 15, 16, good, V.good, V.good, 2,8, 2,5, 2,2
GP, M, 17, 3, 3, services, services, other, 1, 2, 0, no, yes, no, yes, yes, yes, 3, 4, 6, 11, 13, 14, pass, pass, good, 3,7, 3,1, 2,8
GP, M, 16, 1, 2, services, services, other, 1, 1, 0, no, yes, no, yes, yes, yes, 3, 3, 0, 10, 9, 11, pass, fail, pass, 4, 4,3, 3,7
GP, M, 16, 2, 1, other, other, course, 1, 2, 0, no, no, no, yes, yes, yes, 2, 5, 0, 13, 14, 16, pass, good, V.good, 3,1, 2,8, 2,2
GP, F, 17, 3, 3, health, other, reputation, 1, 2, 0, no, yes, no, no, yes, yes, 3, 3, 10, 12, 13, 14, pass, pass, good, 3,4, 3,1, 2,8
GP, M, 17, 1, 2, at_home, other, home, 1, 2, 0, no, no, no, no, yes, no, 1, 3, 6, 9, 9, 10, fail, fail, pass, 4,3, 4,3, 4
GP, F, 16, 2, 3, services, services, course, 1, 2, 0, no, no, no, no, yes, yes, 3, 2, 6, 12, 12, 13, pass, pass, pass, 3,4, 3,4, 3,1
GP, F, 17, 1, 1, at_home, services, course, 1, 2, 0, no, no, no, yes, yes, yes, 3, 3, 0, 12, 11, 12, pass, pass, pass, 3,4, 3,7, 3,4
GP, M, 17, 1, 2, at_home, services, other, 2, 2, 0, no, no, no, yes, yes, yes, 4, 5, 16, 10, 11, 12, pass, pass, pass, 4, 3,7, 3,4
GP, M, 16, 3, 3, services, services, reputation, 1, 1, 0, no, yes, no, yes, yes, yes, 3, 5, 0, 11, 10, 10, pass, pass, pass, 3,7, 4, 4
GP, M, 16, 2, 3, other, other, home, 2, 1, 0, no, no, no, no, yes, yes, 3, 3, 0, 13, 12, 12, pass, pass, pass, 3,1, 3,4, 3,4
GP, F, 17, 2, 4, services, services, course, 1, 2, 0, no, no, no, yes, yes, yes, 3, 5, 8, 14, 15, 16, good, V.good, V.good, 2,8, 2,5, 2,2
GP, M, 17, 4, 4, services, teacher, home, 1, 1, 0, no, no, no, no, yes, yes, 2, 5, 4, 13, 13, 14, pass, pass, good, 3,1, 3,1, 2,8
GP, M, 16, 3, 3, teacher, other, home, 3, 1, 0, no, yes, no, yes, yes, yes, 3, 3, 16, 10, 11, 12, pass, pass, pass, 4, 3,7, 3,4
GP, F, 17, 4, 4, services, teacher, home, 2, 1, 1, no, yes, no, no, yes, yes, 2, 2, 30, 14, 15, 16, good, V.good, V.good, 2,8, 2,5, 2,2
GP, F, 16, 4, 4, teacher, teacher, reputation, 1, 2, 0, no, yes, no, no, yes, yes, 5, 3, 0, 11, 10, 11, pass, pass, pass, 3,7, 4, 3,7
GP, F, 16, 4, 3, health, other, home, 1, 2, 0, no, yes, no, yes, yes, yes, 3, 2, 2, 14, 14, 15, good, good, V.good, 2,8, 2,8, 2,5
GP, F, 16, 2, 3, other, other, reputation, 1, 2, 0, yes, yes, no, yes, yes, no, 4, 4, 4, 11, 12, 12, pass, pass, pass, 3,7, 3,4, 3,4
GP, F, 17, 1, 1, other, other, course, 1, 2, 0, no, yes, no, no, yes, no, 4, 1, 0, 14, 15, 15, good, V.good, V.good, 2,8, 2,5, 2,5
GP, F, 17, 2, 2, other, other, reputation, 1, 1, 0, no, yes, no, no, yes, yes, 3, 3, 21, 13, 13, 13, pass, pass, pass, 3,1, 3,1, 3,1
GP, F, 16, 2, 2, services, services, reputation, 2, 4, 0, no, yes, no, yes, yes, yes, 3, 5, 6, 13, 13, 13, pass, pass, pass, 3,1, 3,1, 3,1
GP, F, 17, 3, 4, at_home, services, home, 1, 3, 1, no, yes, yes, no, yes, yes, 4, 5, 14, 8, 9, 8, fail, fail, fail, 4,6, 4,3, 4,6
GP, F, 16, 3, 1, services, other, course, 1, 2, 0, no, yes, no, no, yes, yes, 3, 4, 2, 11, 11, 12, pass, pass, pass, 3,7, 3,7, 3,4
GP, F, 16, 4, 3, teacher, other, other, 1, 2, 0, no, no, no, yes, yes, yes, 3, 1, 4, 14, 15, 15, good, V.good, V.good, 2,8, 2,5, 2,5
GP, F, 16, 1, 1, at_home, other, home, 2, 1, 0, no, yes, no, no, yes, no, 3, 5, 2, 12, 13, 13, pass, pass, pass, 3,4, 3,1, 3,1
GP, F, 17, 4, 3, teacher, other, reputation, 2, 3, 0, no, yes, no, yes, yes, yes, 4, 4, 0, 11, 12, 12, pass, pass, pass, 3,7, 3,4, 3,4
GP, F, 19, 3, 3, other, other, reputation, 1, 4, 0, no, yes, no, yes, yes, yes, 3, 3, 4, 12, 12, 12, pass, pass, pass, 3,4, 3,4, 3,4
GP, M, 17, 4, 4, services, other, home, 1, 2, 0, no, yes, no, no, yes, yes, 3, 3, 15, 13, 12, 12, pass, pass, pass, 3,1, 3,4, 3,4
GP, F, 16, 2, 2, other, other, reputation, 1, 2, 0, yes, yes, no, no, yes, yes, 3, 4, 0, 13, 13, 13, pass, pass, pass, 3,1, 3,1, 3,1
GP, M, 18, 2, 2, services, other, home, 1, 2, 0, no, yes, no, yes, yes, yes, 4, 5, 10, 12, 11, 11, pass, pass, pass, 3,4, 3,7, 3,7
GP, F, 17, 4, 4, services, other, other, 1, 1, 0, no, yes, no, no, yes, no, 2, 3, 6, 12, 11, 11, pass, pass, pass, 3,4, 3,7, 3,7
GP, F, 17, 3, 2, other, other, reputation, 2, 2, 0, no, no, no, no, yes, yes, 4, 1, 2, 14, 16, 15, good, V.good, V.good, 2,8, 2,2, 2,5
GP, F, 17, 4, 3, other, other, reputation, 1, 2, 0, no, no, no, no, yes, yes, 4, 1, 16, 11, 9, 10, pass, fail, pass, 3,7, 4,3, 4
GP, M, 18, 3, 3, services, health, home, 1, 2, 0, no, yes, no, no, yes, yes, 2, 4, 10, 10, 10, 10, pass, pass, pass, 4, 4, 4
GP, F, 17, 2, 3, at_home, other, home, 2, 1, 0, no, yes, no, no, yes, no, 3, 3, 4, 12, 13, 13, pass, pass, pass, 3,4, 3,1, 3,1
GP, F, 17, 2, 2, at_home, at_home, course, 1, 3, 0, no, yes, no, yes, yes, yes, 3, 4, 0, 12, 12, 13, pass, pass, pass, 3,4, 3,4, 3,1
GP, F, 17, 2, 1, at_home, services, reputation, 2, 2, 0, no, yes, no, yes, yes, yes, 2, 5, 0, 11, 10, 11, pass, pass, pass, 3,7, 4, 3,7
GP, F, 17, 1, 1, at_home, other, reputation, 1, 3, 0, no, yes, no, yes, yes, no, 3, 5, 12, 12, 12, 12, pass, pass, pass, 3,4, 3,4, 3,4
GP, F, 16, 2, 3, services, teacher, other, 1, 2, 0, yes, no, no, no, yes, yes, 3, 3, 0, 13, 13, 14, pass, pass, good, 3,1, 3,1, 2,8
GP, M, 18, 2, 2, other, other, home, 2, 2, 3, no, yes, yes, no, yes, yes, 3, 4, 9, 10, 9, 10, pass, fail, pass, 4, 4,3, 4
GP, F, 16, 4, 4, teacher, services, home, 1, 3, 0, no, yes, no, yes, yes, yes, 3, 5, 4, 15, 16, 16, V.good, V.good, V.good, 2,5, 2,2, 2,2
GP, F, 18, 3, 1, other, other, reputation, 1, 2, 0, no, no, no, yes, yes, yes, 3, 4, 4, 8, 8, 8, fail, fail, fail, 4,6, 4,6, 4,6
GP, F, 17, 3, 2, other, other, course, 1, 2, 0, no, no, no, yes, yes, yes, 3, 3, 2, 17, 18, 17, V.good, excellent, V.good, 1,9, 1,6, 1,9
GP, M, 17, 2, 3, services, services, reputation, 1, 2, 0, no, yes, no, no, yes, yes, 3, 3, 0, 10, 11, 11, pass, pass, pass, 4, 3,7, 3,7
GP, M, 18, 2, 1, at_home, other, course, 4, 2, 0, yes, yes, no, yes, yes, yes, 3, 3, 2, 9, 10, 11, fail, pass, pass, 4,3, 4, 3,7
GP, F, 17, 2, 1, other, other, course, 2, 3, 0, no, no, no, yes, yes, yes, 2, 3, 0, 15, 15, 16, V.good, V.good, V.good, 2,5, 2,5, 2,2
GP, F, 17, 4, 3, health, other, reputation, 1, 2, 0, no, no, no, yes, yes, yes, 2, 3, 0, 14, 12, 12, good, pass, pass, 2,8, 3,4, 3,4
GP, M, 17, 2, 2, other, other, course, 2, 2, 0, no, yes, no, yes, yes, yes, 5, 1, 0, 12, 13, 13, pass, pass, pass, 3,4, 3,1, 3,1
GP, M, 17, 4, 4, teacher, teacher, reputation, 1, 2, 0, yes, yes, no, yes, yes, yes, 5, 2, 0, 13, 13, 13, pass, pass, pass, 3,1, 3,1, 3,1
GP, M, 16, 4, 4, health, other, reputation, 1, 2, 0, no, yes, no, yes, yes, yes, 2, 1, 0, 13, 13, 14, pass, pass, good, 3,1, 3,1, 2,8
GP, M, 16, 1, 1, other, other, home, 2, 2, 0, no, yes, no, no, yes, yes, 4, 5, 2, 9, 9, 9, fail, fail, fail, 4,3, 4,3, 4,3
GP, M, 16, 3, 2, at_home, other, reputation, 2, 3, 0, no, no, no, yes, yes, yes, 3, 2, 0, 12, 12, 12, pass, pass, pass, 3,4, 3,4, 3,4
GP, M, 17, 2, 2, other, other, home, 1, 2, 0, no, no, no, yes, yes, yes, 4, 4, 0, 16, 16, 16, V.good, V.good, V.good, 2,2, 2,2, 2,2
GP, F, 16, 2, 1, other, other, home, 1, 1, 0, no, no, no, no, yes, yes, 5, 5, 4, 9, 10, 10, fail, pass, pass, 4,3, 4, 4
GP, F, 16, 4, 1, other, other, home, 1, 2, 0, no, no, no, yes, yes, yes, 3, 5, 0, 14, 13, 13, good, pass, pass, 2,8, 3,1, 3,1
GP, F, 18, 2, 4, services, other, course, 2, 2, 1, no, yes, no, no, yes, yes, 3, 3, 18, 10, 10, 10, pass, pass, pass, 4, 4, 4
GP, F, 18, 2, 2, at_home, services, course, 1, 2, 1, no, yes, no, no, yes, yes, 3, 5, 16, 9, 8, 10, fail, fail, pass, 4,3, 4,6, 4
GP, F, 18, 3, 3, other, other, course, 2, 1, 1, no, no, no, no, no, yes, 1, 3, 14, 8, 7, 7, fail, fail, fail, 4,6, 4,9, 4,9
GP, M, 18, 2, 2, other, at_home, course, 1, 1, 1, no, yes, no, yes, no, yes, 4, 1, 26, 7, 8, 8, fail, fail, fail, 4,9, 4,6, 4,6
